,object,disperser,filt,evnum,flat,airmass,date,exposure,gain,RA,DEC,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,file
0,HD116405,Holo150PDM19,None,1,FLAT_Filtre_None_bin1x1,1.5458762885599215,2019-02-15T22:55:50.730,30.0,4.8,13.379201048884035,44.7149753302912,133.20855721280418,220.87471889281952,50.0,50.0,No,T1M_20190215_225550_730_HD116405_Filtre_None_bin1x1.1_red.fit
1,HD116405,Holo150PDM19,None,2,FLAT_Filtre_None_bin1x1,1.5428517342612125,2019-02-15T22:56:26.007,30.0,4.8,13.379201048884035,44.7149753302912,133.4006737377673,217.6122741936741,50.0,50.0,No,T1M_20190215_225626_007_HD116405_Filtre_None_bin1x1.2_red.fit
2,HD116405,Holo150PDM19,None,3,FLAT_Filtre_None_bin1x1,1.539841655532288,2019-02-15T22:57:01.284,30.0,4.8,13.379201048884035,44.7149753302912,133.26816245335692,217.95496020747242,50.0,50.0,No,T1M_20190215_225701_284_HD116405_Filtre_None_bin1x1.3_red.fit
3,HD116405,Holo150PDM19,None,4,FLAT_Filtre_None_bin1x1,1.5368458873114774,2019-02-15T22:57:36.562,30.0,4.8,13.379201048884035,44.7149753302912,183.5969804100164,174.98318427448078,50.0,50.0,No,T1M_20190215_225736_562_HD116405_Filtre_None_bin1x1.4_red.fit
4,HD116405,Holo150PDM19,None,5,FLAT_Filtre_None_bin1x1,1.5338646040016204,2019-02-15T22:58:11.838,30.0,4.8,13.379201048884035,44.7149753302912,180.2575046980827,174.5476107495986,50.0,50.0,No,T1M_20190215_225811_838_HD116405_Filtre_None_bin1x1.5_red.fit
5,HD116405,Holo150PDM19,None,6,FLAT_Filtre_None_bin1x1,1.5308974723087956,2019-02-15T22:58:47.115,30.0,4.8,13.379201048884035,44.7149753302912,178.79790605218273,173.03127661876857,50.0,50.0,No,T1M_20190215_225847_115_HD116405_Filtre_None_bin1x1.6_red.fit
6,HD116405,Holo150PDM19,None,7,FLAT_Filtre_None_bin1x1,1.5279439138353057,2019-02-15T22:59:22.399,30.0,4.8,13.379201048884035,44.7149753302912,178.52085579024862,173.22744354926868,50.0,50.0,No,T1M_20190215_225922_399_HD116405_Filtre_None_bin1x1.7_red.fit
7,HD116405,Holo150PDM19,None,8,FLAT_Filtre_None_bin1x1,1.5250049394029432,2019-02-15T22:59:57.677,30.0,4.8,13.379201048884035,44.7149753302912,176.21902699419977,169.54286089085159,50.0,50.0,No,T1M_20190215_225957_677_HD116405_Filtre_None_bin1x1.8_red.fit
8,HD116405,Holo150PDM19,None,9,FLAT_Filtre_None_bin1x1,1.5220798854520003,2019-02-15T23:00:32.956,30.0,4.8,13.379201048884035,44.7149753302912,173.04660607184223,167.72354629152534,50.0,50.0,No,T1M_20190215_230032_956_HD116405_Filtre_None_bin1x1.9_red.fit
9,HD116405,Holo150PDM19,None,10,FLAT_Filtre_None_bin1x1,1.5191689233067431,2019-02-15T23:01:08.233,30.0,4.8,13.379201048884035,44.7149753302912,171.7847699119261,166.28950875412494,50.0,50.0,No,T1M_20190215_230108_233_HD116405_Filtre_None_bin1x1.10_red.fit
10,HD116405,Holo150PDM19,None,11,FLAT_Filtre_None_bin1x1,1.5162717285765512,2019-02-15T23:01:43.511,30.0,4.8,13.379201048884035,44.7149753302912,171.24218820839542,167.2461181086395,50.0,50.0,No,T1M_20190215_230143_511_HD116405_Filtre_None_bin1x1.11_red.fit
11,HD116405,Holo150PDM19,None,12,FLAT_Filtre_None_bin1x1,1.5133884713736008,2019-02-15T23:02:18.787,30.0,4.8,13.379201048884035,44.7149753302912,169.51652203891416,163.75246053883046,50.0,50.0,No,T1M_20190215_230218_787_HD116405_Filtre_None_bin1x1.12_red.fit
