,object,disperser,filt,evnum,flat,airmass,date,exposure,gain,ra,dec,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,file
0,HD116405,Holo150ROTPDM19,None,1,FLAT_Filtre_None_bin1x1,1.5458762885599215,2019-02-15T22:55:50.730,30.0,4.8,13.379201048884035,44.7149753302912,248.9774087216086,1508.5771567278075,50.0,50.0,No,T1M_20190215_225550_730_HD116405_Filtre_None_bin1x1.1_red_rot.fit
1,HD116405,Holo150ROTPDM19,None,2,FLAT_Filtre_None_bin1x1,1.5428517342612125,2019-02-15T22:56:26.007,30.0,4.8,13.379201048884035,44.7149753302912,247.25081960571978,1505.8718952241927,50.0,50.0,No,T1M_20190215_225626_007_HD116405_Filtre_None_bin1x1.2_red_rot.fit
2,HD116405,Holo150ROTPDM19,None,3,FLAT_Filtre_None_bin1x1,1.539841655532288,2019-02-15T22:57:01.284,30.0,4.8,13.379201048884035,44.7149753302912,247.31330957022288,1506.2809529161136,50.0,50.0,No,T1M_20190215_225701_284_HD116405_Filtre_None_bin1x1.3_red_rot.fit
3,HD116405,Holo150ROTPDM19,None,4,FLAT_Filtre_None_bin1x1,1.5368458873114774,2019-02-15T22:57:36.562,30.0,4.8,13.379201048884035,44.7149753302912,252.4331847607069,1440.2635978552532,50.0,50.0,No,T1M_20190215_225736_562_HD116405_Filtre_None_bin1x1.4_red_rot.fit
4,HD116405,Holo150ROTPDM19,None,5,FLAT_Filtre_None_bin1x1,1.5338646040016204,2019-02-15T22:58:11.838,30.0,4.8,13.379201048884035,44.7149753302912,249.7456535493087,1441.9850582946362,50.0,50.0,No,T1M_20190215_225811_838_HD116405_Filtre_None_bin1x1.5_red_rot.fit
5,HD116405,Holo150ROTPDM19,None,6,FLAT_Filtre_None_bin1x1,1.5308974723087956,2019-02-15T22:58:47.115,30.0,4.8,13.379201048884035,44.7149753302912,247.50028832578232,1442.4484929522714,50.0,50.0,No,T1M_20190215_225847_115_HD116405_Filtre_None_bin1x1.6_red_rot.fit
6,HD116405,Holo150ROTPDM19,None,7,FLAT_Filtre_None_bin1x1,1.5279439138353057,2019-02-15T22:59:22.399,30.0,4.8,13.379201048884035,44.7149753302912,247.50063934147911,1442.975110621852,50.0,50.0,No,T1M_20190215_225922_399_HD116405_Filtre_None_bin1x1.7_red_rot.fit
7,HD116405,Holo150ROTPDM19,None,8,FLAT_Filtre_None_bin1x1,1.5250049394029432,2019-02-15T22:59:57.677,30.0,4.8,13.379201048884035,44.7149753302912,243.2593945169649,1441.676656261876,50.0,50.0,No,T1M_20190215_225957_677_HD116405_Filtre_None_bin1x1.8_red_rot.fit
8,HD116405,Holo150ROTPDM19,None,9,FLAT_Filtre_None_bin1x1,1.5220798854520003,2019-02-15T23:00:32.956,30.0,4.8,13.379201048884035,44.7149753302912,239.5041763733477,1443.0304467882238,50.0,50.0,No,T1M_20190215_230032_956_HD116405_Filtre_None_bin1x1.9_red_rot.fit
9,HD116405,Holo150ROTPDM19,None,10,FLAT_Filtre_None_bin1x1,1.5191689233067431,2019-02-15T23:01:08.233,30.0,4.8,13.379201048884035,44.7149753302912,237.94444388864898,1442.5172952309945,50.0,50.0,No,T1M_20190215_230108_233_HD116405_Filtre_None_bin1x1.10_red_rot.fit
10,HD116405,Holo150ROTPDM19,None,11,FLAT_Filtre_None_bin1x1,1.5162717285765512,2019-02-15T23:01:43.511,30.0,4.8,13.379201048884035,44.7149753302912,238.20071063259894,1443.5200554924695,50.0,50.0,No,T1M_20190215_230143_511_HD116405_Filtre_None_bin1x1.11_red_rot.fit
11,HD116405,Holo150ROTPDM19,None,12,FLAT_Filtre_None_bin1x1,1.5133884713736008,2019-02-15T23:02:18.787,30.0,4.8,13.379201048884035,44.7149753302912,234.48893121419118,1443.032474676825,50.0,50.0,No,T1M_20190215_230218_787_HD116405_Filtre_None_bin1x1.12_red_rot.fit
12,HD116405,Holo150ROTPDM19,None,13,FLAT_Filtre_None_bin1x1,1.5105159904660654,2019-02-15T23:02:54.099,30.0,4.8,13.379201048884035,44.7149753302912,229.13263665874348,1443.0509081796927,50.0,50.0,No,T1M_20190215_230254_099_HD116405_Filtre_None_bin1x1.13_red_rot.fit
