# x_star y_star theta_in_degree
400.0 400.0 -0.505883187341338
800.0 400.0 -0.40211403431493065
1200.0 400.0 -0.29855521673064334
1600.0 400.0 -0.1952068337561834
2000.0 400.0 -0.09206897759178814
2400.0 400.0 0.010858261877005004
2800.0 400.0 0.1135747925111254
3200.0 400.0 0.2160805155064799
3600.0 400.0 0.3183753212082482
400.0 800.0 -0.4571917475774507
800.0 800.0 -0.3754533485350751
1200.0 800.0 -0.29392762020678254
1600.0 800.0 -0.2126144345015195
2000.0 800.0 -0.13151365971326917
2400.0 800.0 -0.050625164217957486
2800.0 800.0 0.030051179903111458
3200.0 800.0 0.11051549337085992
3600.0 800.0 0.1907678864012044
400.0 1200.0 -0.4078640841756842
800.0 1200.0 -0.3483466645541572
1200.0 1200.0 -0.28904358936422775
1600.0 1200.0 -0.22995465010250563
2000.0 1200.0 -0.17107963732880563
2400.0 1200.0 -0.1124183433690569
2800.0 1200.0 -0.053970564956250355
3200.0 1200.0 0.004263894232249543
3600.0 1200.0 0.062285221180675365
400.0 1600.0 -0.3580115798686597
800.0 1600.0 -0.32085445504360055
1200.0 1600.0 -0.2839127191878267
1600.0 1600.0 -0.2471861926870608
2000.0 1600.0 -0.2106746969347204
2400.0 1600.0 -0.1743780560167209
2800.0 1600.0 -0.13829609834641232
3200.0 1600.0 -0.10242865822381095
3600.0 1600.0 -0.06677557729517108
400.0 2000.0 -0.3077490196009246
800.0 2000.0 -0.29303951085231805
1200.0 2000.0 -0.2785458464220743
1600.0 2000.0 -0.2642679448220201
2000.0 2000.0 -0.2502057267406776
2400.0 2000.0 -0.23635911569648196
2800.0 2000.0 -0.2227280386535885
3200.0 2000.0 -0.20931242659061602
3600.0 2000.0 -0.19611221501380505
400.0 2400.0 -0.25719371726406187
800.0 2400.0 -0.2649664675326613
1200.0 2400.0 -0.27295497494251525
1600.0 2400.0 -0.2811592836972816
2000.0 2400.0 -0.28957944054732826
2400.0 2400.0 -0.2982154944065476
2800.0 2400.0 -0.30706749594426347
3200.0 2400.0 -0.3161354971589686
3600.0 2400.0 -0.32541955094092107
400.0 2800.0 -0.2064646058111586
800.0 2800.0 -0.23670130647992244
1200.0 2800.0 -0.2671531868202607
1600.0 2800.0 -0.2978204019799314
2000.0 2800.0 -0.3287031092199609
2400.0 2800.0 -0.35980146649780304
2800.0 2800.0 -0.39111563103816116
3200.0 2800.0 -0.4226457579144094
3600.0 2800.0 -0.45439199866331537
400.0 3200.0 -0.15568130551233833
800.0 3200.0 -0.2083108387351379
1200.0 3200.0 -0.2611545404528115
1600.0 3200.0 -0.3142126200396824
2000.0 3200.0 -0.36748528776057554
2400.0 3200.0 -0.42097275233123965
2800.0 3200.0 -0.47467521847896643
3200.0 3200.0 -0.5285928845423268
3600.0 3200.0 -0.5827259401480649
400.0 3600.0 -0.10496318565343385
800.0 3600.0 -0.1798621799132104
1200.0 3600.0 -0.2549739574231188
1600.0 3600.0 -0.3302986844148763
2000.0 3600.0 -0.40583652603047304
2400.0 3600.0 -0.48158764288093325
2800.0 3600.0 -0.557552187617478
3200.0 3600.0 -0.6337303015700609
3600.0 3600.0 -0.7101221115061109
