# x_star y_star theta_in_degree
502.523 303.012 -2.076
652.372 302.835 -1.581
802.771 302.459 -1.200
951.551 301.340 -0.820
1102.791 301.990 -0.482
504.212 448.278 -1.515
652.320 447.852 -1.248
802.823 447.823 -1.115
949.978 447.860 -0.951
1102.174 447.808 -0.821
503.785 596.976 -0.984
650.503 595.564 -0.995
825.752 595.364 -1.037
948.993 595.746 -1.067
1099.250 596.096 -1.148
501.777 745.213 -0.442
649.049 744.839 -0.666
799.345 743.787 -0.931
948.314 743.145 -1.188
1096.967 743.735 -1.458
500.004 893.080 0.027
647.552 893.487 -0.337
797.629 893.101 -0.809
947.868 892.260 -1.285
1094.859 892.364 -1.761
