# x_star y_star theta_in_degree
497.868 298.009 -3.496
648.151 297.658 -3.229
797.125 296.763 -2.808
946.640 297.062 -2.393
1094.431 296.694 -1.979
496.503 445.063 -3.019
645.717 444.781 -2.638
795.463 443.816 -2.407
942.084 443.912 -2.165
1092.836 443.243 -1.952
494.139 592.734 -1.925
644.947 591.938 -1.866
793.962 591.776 -1.819
941.104 590.951 -1.910
1088.474 591.521 -1.903
491.318 740.588 -1.145
639.495 740.456 -1.237
788.965 739.702 -1.430
937.714 739.458 -1.615
1086.403 738.878 -1.838
488.191 888.941 -0.216
638.063 889.377 -0.498
787.473 888.613 -0.908
935.146 888.733 -1.325
1085.220 888.280 -1.747
