# x_star y_star min_fwhm
424.813 381.000 12.400
576.644 376.059 9.100
729.129 372.434 6.500
881.239 371.029 5.900
1033.870 369.294 5.800
419.839 529.251 8.500
571.871 523.490 6.200
723.827 520.814 6.000
875.506 517.083 6.100
1027.846 516.134 5.500
413.894 676.143 10.200
566.023 670.322 6.900
717.862 666.712 6.100
869.774 665.432 5.900
1022.061 661.984 5.300
407.981 822.981 7.800
560.320 818.193 8.500
712.204 814.767 7.200
864.296 812.017 6.800
1016.902 811.312 6.300
403.009 973.831 6.900
554.756 968.593 8.800
706.384 965.874 9.900
859.087 963.010 8.700
1012.088 962.000 8.200
